,name,chrom,txStart,txEnd,name2,start,end
1623,NM_001282625,chr1,156052363,156107657,LMNA,156042363,156117657
1628,NM_001282626,chr1,156084501,156109872,LMNA,156074501,156119872
1631,NM_170708,chr1,156084501,156109872,LMNA,156074501,156119872
1634,NM_170707,chr1,156084501,156109872,LMNA,156074501,156119872
1680,NM_006917,chr1,165370158,165414363,RXRG,165360158,165424363
1681,NR_033824,chr1,165406167,165414363,RXRG,165396167,165424363
1683,NM_001256570,chr1,165370158,165414592,RXRG,165360158,165424592
1693,NM_001365849,chr1,167190121,167396582,POU2F1,167180121,167406582
1694,NM_001365848,chr1,167190121,167396582,POU2F1,167180121,167406582
1695,NM_002697,chr1,167190122,167396577,POU2F1,167180122,167406577
1699,NR_037163,chr1,167190122,167396577,POU2F1,167180122,167406577
1700,NM_001198783,chr1,167298306,167396577,POU2F1,167288306,167406577
1701,NM_001198786,chr1,167190122,167396577,POU2F1,167180122,167406577
2027,NM_001381851,chr1,207669501,207815110,CR1,207659501,207825110
2028,NM_000651,chr1,207669501,207815110,CR1,207659501,207825110
2030,NM_000573,chr1,207669501,207815110,CR1,207659501,207825110
2035,NM_006147,chr1,209958963,209979487,IRF6,209948963,209989487
2041,NM_001206696,chr1,209958967,209979520,IRF6,209948967,209989520
2201,NM_007357,chr1,230778226,230829728,COG2,230768226,230839728
2210,NM_001145036,chr1,230778226,230829728,COG2,230768226,230839728
2404,NM_003327,chr1,1146719,1149533,TNFRSF4,1136719,1159533
2415,NM_004421,chr1,1270657,1284798,DVL1,1260657,1294798
2435,NM_001330311,chr1,1270657,1284798,DVL1,1260657,1294798
2555,NM_001204192,chr1,3614609,3652765,TP73,3604609,3662765
2556,NM_001204191,chr1,3607235,3652765,TP73,3597235,3662765
2557,NM_001204187,chr1,3569128,3652765,TP73,3559128,3662765
2558,NM_001204186,chr1,3569079,3652765,TP73,3559079,3662765
2559,NM_001204190,chr1,3607235,3652765,TP73,3597235,3662765
2560,NM_001204184,chr1,3569079,3652765,TP73,3559079,3662765
2561,NM_001126240,chr1,3607235,3652765,TP73,3597235,3662765
2564,NM_001126242,chr1,3607235,3652765,TP73,3597235,3662765
2565,NM_001126241,chr1,3607235,3652765,TP73,3597235,3662765
2566,NM_001204188,chr1,3569128,3652765,TP73,3559128,3662765
2568,NM_001204189,chr1,3607235,3652765,TP73,3597235,3662765
2570,NM_005427,chr1,3569079,3652765,TP73,3559079,3662765
2571,NM_001204185,chr1,3569079,3652765,TP73,3559079,3662765
2712,NM_007375,chr1,11072710,11085549,TARDBP,11062710,11095549
2739,NM_005957,chr1,11845780,11866021,MTHFR,11835780,11876021
2743,NM_001330358,chr1,11845786,11863734,MTHFR,11835786,11873734
2757,NM_001066,chr1,12227047,12269277,TNFRSF1B,12217047,12279277
2853,NM_001165945,chr1,16375256,16383821,CLCNKB,16365256,16393821
2856,NM_000085,chr1,16370276,16383803,CLCNKB,16360276,16393803
2974,NM_000871,chr1,19991367,20007459,HTR6,19981367,20017459
3019,NM_001113347,chr1,21543742,21606108,ECE1,21533742,21616108
3020,NM_001113349,chr1,21543742,21616708,ECE1,21533742,21626708
3021,NM_001397,chr1,21543742,21616956,ECE1,21533742,21626956
3401,NM_024482,chr1,28995295,29045864,GMEB1,28985295,29055864
3402,NM_006582,chr1,28995295,29045864,GMEB1,28985295,29055864
3403,NM_001319674,chr1,28995295,29045864,GMEB1,28985295,29055864
3478,NM_005356,chr1,32716865,32751766,LCK,32706865,32761766
3490,NM_001330468,chr1,32716865,32751766,LCK,32706865,32761766
3491,NM_001042771,chr1,32739711,32751768,LCK,32729711,32761768
4208,NM_014762,chr1,55315299,55352868,DHCR24,55305299,55362868
4211,NM_174936,chr1,55505220,55530525,PCSK9,55495220,55540525
4212,NR_110451,chr1,55505894,55530526,PCSK9,55495894,55540526
4505,NM_004120,chr1,89571815,89591797,GBP2,89561815,89601797
4744,NM_002959,chr1,109852196,109940540,SORT1,109842196,109950540
4745,NM_001205228,chr1,109852187,109935979,SORT1,109842187,109945979
4765,NM_000850,chr1,110198720,110204322,GSTM4,110188720,110214322
4766,NM_147148,chr1,110198720,110208119,GSTM4,110188720,110218119
4770,NR_024538,chr1,110198697,110204331,GSTM4,110188697,110214331
4774,NM_000849,chr1,110276558,110283660,GSTM3,110266558,110293660
4780,NR_024537,chr1,110276553,110283660,GSTM3,110266553,110293660
4781,NM_000757,chr1,110453470,110473614,CSF1,110443470,110483614
4782,NM_172212,chr1,110453470,110469366,CSF1,110443470,110479366
4783,NM_172211,chr1,110453470,110473614,CSF1,110443470,110483614
4784,NM_172210,chr1,110453470,110467824,CSF1,110443470,110477824
4985,NM_005518,chr1,120290625,120311528,HMGCS2,120280625,120321528
4986,NM_001166107,chr1,120290618,120311555,HMGCS2,120280618,120321555
5113,NR_103870,chr1,146626684,146644049,PRKAB2,146616684,146654049
5114,NR_103871,chr1,146626684,146644049,PRKAB2,146616684,146654049
5115,NM_005399,chr1,146626684,146644049,PRKAB2,146616684,146654049
5342,NR_045033,chr1,150237798,150241609,APH1A,150227798,150251609
5343,NR_045034,chr1,150237798,150241609,APH1A,150227798,150251609
5344,NR_045035,chr1,150237798,150241609,APH1A,150227798,150251609
5355,NM_001243772,chr1,150237798,150241609,APH1A,150227798,150251609
5356,NM_001243771,chr1,150237798,150241609,APH1A,150227798,150251609
5360,NM_001077628,chr1,150237803,150241416,APH1A,150227803,150251416
5366,NM_016022,chr1,150237798,150241609,APH1A,150227798,150251609
5699,NM_000748,chr1,154540253,154552486,CHRNB2,154530253,154562486
5700,NM_006556,chr1,154897215,154909195,PMVK,154887215,154919195
5701,NM_001323012,chr1,154897215,154915134,PMVK,154887215,154925134
5702,NM_001323011,chr1,154897215,154909195,PMVK,154887215,154919195
5703,NM_001348696,chr1,154897215,154909195,PMVK,154887215,154919195
5804,NM_002004,chr1,155278656,155290456,FDPS,155268656,155300456
5815,NM_000157,chr1,155204242,155211040,GBA,155194242,155221040
5817,NM_001378425,chr1,155278656,155290456,FDPS,155268656,155300456
5818,NM_001378424,chr1,155278656,155290456,FDPS,155268656,155300456
5819,NM_001171812,chr1,155204242,155211040,GBA,155194242,155221040
5821,NM_001005741,chr1,155204242,155214418,GBA,155194242,155224418
5824,NM_001135821,chr1,155278656,155290456,FDPS,155268656,155300456
5826,NM_001242825,chr1,155278538,155290457,FDPS,155268538,155300457
5827,NM_001005742,chr1,155204242,155214418,GBA,155194242,155224418
5828,NM_001135822,chr1,155278656,155290456,FDPS,155268656,155300456
5830,NM_001171811,chr1,155204242,155214418,GBA,155194242,155224418
5834,NM_001242824,chr1,155278656,155290456,FDPS,155268656,155300456
6000,NM_002529,chr1,156830670,156851642,NTRK1,156820670,156861642
6002,NM_001012331,chr1,156830670,156851642,NTRK1,156820670,156861642
6006,NM_001007792,chr1,156785541,156851642,NTRK1,156775541,156861642
6094,NM_001329058,chr1,159682078,159684379,CRP,159672078,159694379
6098,NM_001329057,chr1,159682078,159684379,CRP,159672078,159694379
6099,NM_001382703,chr1,159682078,159684379,CRP,159672078,159694379
6100,NM_000567,chr1,159682078,159684379,CRP,159672078,159694379
6142,NM_015331,chr1,160313172,160328739,NCSTN,160303172,160338739
6143,NM_001349729,chr1,160313172,160328739,NCSTN,160303172,160338739
6145,NM_001290186,chr1,160313172,160328739,NCSTN,160303172,160338739
6146,NM_001290184,chr1,160313172,160328739,NCSTN,160303172,160338739
6181,NM_001382733,chr1,160965000,160990942,F11R,160955000,161000942
6188,NM_001382730,chr1,160965000,160990942,F11R,160955000,161000942
6191,NM_001276373,chr1,161009040,161014774,USF1,160999040,161024774
6192,NM_016946,chr1,160965000,160990942,F11R,160955000,161000942
6194,NM_001348091,chr1,160965000,160990942,F11R,160955000,161000942
6195,NM_001382734,chr1,160965000,160990942,F11R,160955000,161000942
6196,NM_001382727,chr1,160965000,160990942,F11R,160955000,161000942
6198,NM_207005,chr1,161009040,161015767,USF1,160999040,161025767
6201,NM_007122,chr1,161009040,161015767,USF1,160999040,161025767
6206,NM_004106,chr1,161185084,161189035,FCER1G,161175084,161199035
6245,NM_001643,chr1,161192081,161193418,APOA2,161182081,161203418
6331,NM_001113381,chr1,163039043,163046592,RGS4,163029043,163056592
6332,NM_001113380,chr1,163041694,163046592,RGS4,163031694,163056592
6333,NM_001102445,chr1,163038395,163046592,RGS4,163028395,163056592
6334,NM_005613,chr1,163039150,163046592,RGS4,163029150,163056592
6342,NM_001256571,chr1,165370158,165394221,RXRG,165360158,165404221
6473,NM_004905,chr1,173446473,173457954,PRDX6,173436473,173467954
6664,NM_000186,chr1,196621172,196716634,CFH,196611172,196726634
6665,NM_001014975,chr1,196621007,196670695,CFH,196611007,196680695
6848,NM_000537,chr1,204123946,204135465,REN,204113946,204145465
6936,NR_168467,chr1,206940946,206943948,IL10,206930946,206953948
6937,NM_001382624,chr1,206940946,206944534,IL10,206930946,206954534
6938,NR_168466,chr1,206940946,206945839,IL10,206930946,206955839
6939,NM_000572,chr1,206940946,206945839,IL10,206930946,206955839
7008,NM_020439,chr1,209757058,209787284,CAMK1G,209747058,209797284
7014,NM_001206741,chr1,209859524,209908295,HSD11B1,209849524,209918295
7016,NM_181755,chr1,209859524,209908295,HSD11B1,209849524,209918295
7017,NM_005525,chr1,209878190,209908273,HSD11B1,209868190,209918273
7290,NM_001618,chr1,226548391,226595794,PARP1,226538391,226605794
7292,NM_000447,chr1,227058316,227083799,PSEN2,227048316,227093799
7293,NM_012486,chr1,227058272,227083804,PSEN2,227048272,227093804
7529,NM_001384479,chr1,230838269,230849868,AGT,230828269,230859868
7533,NM_001382817,chr1,230838269,230881329,AGT,230828269,230891329
7812,NM_002149,chr2,10443029,10567729,HPCAL1,10433029,10577729
7814,NM_134421,chr2,10443825,10567743,HPCAL1,10433825,10577743
7816,NM_001258357,chr2,10470288,10567743,HPCAL1,10460288,10577743
7867,NM_022436,chr2,44039610,44065978,ABCG5,44029610,44075978
8187,NM_004438,chr2,222282746,222437024,EPHA4,222272746,222447024
8193,NM_001304537,chr2,222282746,222437024,EPHA4,222272746,222447024
8194,NM_001363748,chr2,222282746,222437024,EPHA4,222272746,222447024
8195,NM_001304536,chr2,222282746,222438922,EPHA4,222272746,222448922
8363,NM_000384,chr2,21224300,21266945,APOB,21214300,21276945
8514,NM_002759,chr2,37332280,37384190,EIF2AK2,37322280,37394190
8519,NM_001135652,chr2,37332280,37374965,EIF2AK2,37322280,37384965
8520,NM_001135651,chr2,37326352,37384123,EIF2AK2,37316352,37394123
8545,NM_001382395,chr2,39208689,39348192,SOS1,39198689,39358192
8553,NM_001382394,chr2,39208689,39352009,SOS1,39198689,39362009
8554,NM_005633,chr2,39208689,39348192,SOS1,39198689,39358192
8687,NM_001039349,chr2,56093101,56150917,EFEMP1,56083101,56160917
8688,NM_001039348,chr2,56093101,56150917,EFEMP1,56083101,56160917
8900,NM_000189,chr2,75061253,75120485,HK2,75051253,75130485
8915,NM_001371525,chr2,75062296,75120485,HK2,75052296,75130485
9315,NM_015630,chr2,149402319,149545138,EPC2,149392319,149555138
9398,NM_004180,chr2,161993473,162092724,TANK,161983473,162102724
9400,NM_133484,chr2,161993465,162061490,TANK,161983465,162071490
9417,NM_001303422,chr2,165348926,165425005,GRB14,165338926,165435005
9418,NM_004490,chr2,165348926,165477992,GRB14,165338926,165487992
9461,NM_004525,chr2,169983618,170219044,LRP2,169973618,170229044
9739,NM_033358,chr2,202098185,202146640,CASP8,202088185,202156640
9740,NM_033355,chr2,202098165,202152434,CASP8,202088165,202162434
9743,NM_015049,chr2,202241929,202316181,TRAK2,202231929,202326181
9745,NM_001228,chr2,202098165,202152434,CASP8,202088165,202162434
9747,NM_001080124,chr2,202098185,202152432,CASP8,202088185,202162432
9994,NR_103740,chr2,215796265,216003349,ABCA12,215786265,216013349
9998,NM_015657,chr2,215796265,215896810,ABCA12,215786265,215906810
9999,NM_173076,chr2,215796265,216003349,ABCA12,215786265,216013349
10352,NM_003183,chr2,9628614,9695959,ADAM17,9618614,9705959
10354,NM_001382777,chr2,9628614,9695959,ADAM17,9618614,9705959
10355,NM_001382778,chr2,9628614,9695959,ADAM17,9618614,9705959
10371,NM_001258358,chr2,10508803,10567743,HPCAL1,10498803,10577743
10372,NM_001258359,chr2,10508889,10567743,HPCAL1,10498889,10577743
10827,NM_000233,chr2,48913912,48982863,LHCGR,48903912,48992863
11690,NM_000576,chr2,113587331,113594356,IL1B,113577331,113604356
11691,NM_000575,chr2,113531501,113542070,IL1A,113521501,113552070
11692,NM_001371554,chr2,113531501,113541977,IL1A,113521501,113551977
11703,NM_001318914,chr2,113875547,113891591,IL1RN,113865547,113901591
11704,NM_000577,chr2,113875547,113891591,IL1RN,113865547,113901591
11705,NM_001379360,chr2,113885065,113891591,IL1RN,113875065,113901591
11710,NM_173843,chr2,113875547,113891591,IL1RN,113865547,113901591
11711,NM_173842,chr2,113885174,113891591,IL1RN,113875174,113901591
11712,NM_173841,chr2,113875547,113891591,IL1RN,113865547,113901591
11840,NM_001320632,chr2,127805607,127864730,BIN1,127795607,127874730
11841,NM_001320640,chr2,127805607,127864730,BIN1,127795607,127874730
11842,NM_001320634,chr2,127805598,127839641,BIN1,127795598,127849641
11843,NM_004305,chr2,127805607,127864730,BIN1,127795607,127874730
11844,NM_001320633,chr2,127805607,127864730,BIN1,127795607,127874730
11845,NM_001320642,chr2,127805598,127842126,BIN1,127795598,127852126
11846,NM_139347,chr2,127805607,127864730,BIN1,127795607,127874730
11847,NM_139346,chr2,127805607,127864730,BIN1,127795607,127874730
11848,NM_139345,chr2,127805607,127864730,BIN1,127795607,127874730
11849,NM_001320641,chr2,127805607,127864730,BIN1,127795607,127874730
11850,NM_139351,chr2,127805607,127864730,BIN1,127795607,127874730
11851,NM_139349,chr2,127805607,127864730,BIN1,127795607,127874730
11852,NM_139350,chr2,127805607,127864730,BIN1,127795607,127874730
11853,NM_139348,chr2,127805607,127864730,BIN1,127795607,127874730
11854,NM_139344,chr2,127805607,127864730,BIN1,127795607,127874730
11855,NM_139343,chr2,127805607,127864730,BIN1,127795607,127874730
12156,NM_001199135,chr2,162016938,162092724,TANK,162006938,162102724
12370,NM_002500,chr2,182541193,182545244,NEUROD1,182531193,182555244
12371,NR_146176,chr2,182533021,182545244,NEUROD1,182523021,182555244
12372,NR_146175,chr2,182536826,182545392,NEUROD1,182526826,182555392
12569,NM_001080125,chr2,202122757,202152432,CASP8,202112757,202162432
12571,NM_033356,chr2,202125258,202152432,CASP8,202115258,202162432
12574,NR_111983,chr2,202122757,202152432,CASP8,202112757,202162432
12576,NM_001372051,chr2,202125258,202152432,CASP8,202115258,202162432
12620,NM_001199982,chr2,206979540,207024168,NDUFS1,206969540,207034168
12622,NM_001199984,chr2,206987802,207023918,NDUFS1,206977802,207033918
12632,NM_001199983,chr2,206979540,207024168,NDUFS1,206969540,207034168
12634,NM_005006,chr2,206979540,207024168,NDUFS1,206969540,207034168
12636,NM_001199981,chr2,206979540,207024168,NDUFS1,206969540,207034168
12780,NM_000578,chr2,219246995,219261617,SLC11A1,219236995,219271617
12952,NM_005544,chr2,227596027,227664536,IRS1,227586027,227674536
13747,NM_001234,chr3,8775487,8788444,CAV3,8765487,8798444
13749,NM_033337,chr3,8775487,8788444,CAV3,8765487,8798444
13783,NM_001374262,chr3,12330568,12475842,PPARG,12320568,12485842
13784,NM_001374261,chr3,12329382,12475842,PPARG,12319382,12485842
13785,NM_001374265,chr3,12392915,12475842,PPARG,12382915,12485842
13786,NM_001374264,chr3,12343473,12475842,PPARG,12333473,12485842
13787,NM_001374263,chr3,12343265,12475842,PPARG,12333265,12485842
13789,NM_015869,chr3,12392915,12475842,PPARG,12382915,12485842
13791,NM_001374266,chr3,12330568,12475842,PPARG,12320568,12485842
13792,NM_001330615,chr3,12330568,12475842,PPARG,12320568,12485842
13793,NM_005037,chr3,12329372,12475842,PPARG,12319372,12485842
13794,NM_001354670,chr3,12330568,12451924,PPARG,12320568,12461924
13795,NM_001354669,chr3,12329382,12475842,PPARG,12319382,12485842
13796,NM_001354668,chr3,12392915,12451924,PPARG,12382915,12461924
13797,NM_001354667,chr3,12330558,12475842,PPARG,12320558,12485842
13798,NM_001354666,chr3,12328866,12475842,PPARG,12318866,12485842
13802,NM_138712,chr3,12329372,12475842,PPARG,12319372,12485842
13803,NM_138711,chr3,12330568,12475842,PPARG,12320568,12485842
13836,NM_015150,chr3,16357351,16555206,RFTN1,16347351,16565206
14135,NM_001123396,chr3,46395601,46402431,CCR2,46385601,46412431
14139,NM_001123041,chr3,46395234,46402413,CCR2,46385234,46412413
14765,NM_001282563,chr3,113847498,113918254,DRD3,113837498,113928254
14791,NM_002093,chr3,119540167,119813294,GSK3B,119530167,119823294
14793,NM_001354596,chr3,119540167,119813294,GSK3B,119530167,119823294
14797,NM_001146156,chr3,119540167,119813294,GSK3B,119530167,119823294
15002,NM_001354703,chr3,133380841,133515485,TF,133370841,133525485
15187,NM_001354642,chr3,154741912,154901518,MME,154731912,154911518
15225,NR_137636,chr3,165490691,165555211,BCHE,165480691,165565211
15226,NR_137635,chr3,165490691,165555211,BCHE,165480691,165565211
15229,NM_000055,chr3,165490691,165555211,BCHE,165480691,165565211
15428,NM_001329149,chr3,189507447,189615064,TP63,189497447,189625064
15429,NM_001114981,chr3,189507447,189615064,TP63,189497447,189625064
15430,NM_001329144,chr3,189349177,189615064,TP63,189339177,189625064
15431,NM_001329148,chr3,189349177,189615064,TP63,189339177,189625064
15432,NM_001114980,chr3,189507447,189615064,TP63,189497447,189625064
15433,NM_001114978,chr3,189349177,189615064,TP63,189339177,189625064
15434,NM_003722,chr3,189349177,189615064,TP63,189339177,189625064
15435,NM_001329146,chr3,189507447,189615064,TP63,189497447,189625064
15436,NM_001329145,chr3,189507447,189615064,TP63,189497447,189625064
15437,NM_001329964,chr3,189314534,189615068,TP63,189304534,189625068
15438,NM_001114979,chr3,189349177,189599292,TP63,189339177,189609292
15439,NM_001114982,chr3,189507447,189599292,TP63,189497447,189609292
15440,NM_001329150,chr3,189507447,189615064,TP63,189497447,189625064
15481,NM_001647,chr3,195295575,195310811,APOD,195285575,195320811
15604,NM_016819,chr3,9791627,9799089,OGG1,9781627,9809089
15605,NM_001354649,chr3,9791627,9799089,OGG1,9781627,9809089
15606,NM_002542,chr3,9791627,9799089,OGG1,9781627,9809089
15608,NM_001354650,chr3,9791627,9808353,OGG1,9781627,9818353
15609,NM_001354648,chr3,9791627,9799089,OGG1,9781627,9809089
15612,NM_001354652,chr3,9791627,9808353,OGG1,9781627,9818353
15613,NM_001354651,chr3,9791627,9808353,OGG1,9781627,9818353
15616,NM_016829,chr3,9791627,9808353,OGG1,9781627,9818353
15617,NM_016828,chr3,9791627,9808353,OGG1,9781627,9818353
15619,NM_016827,chr3,9791627,9808353,OGG1,9781627,9818353
15620,NM_016826,chr3,9791627,9808353,OGG1,9781627,9818353
15621,NM_016821,chr3,9791627,9808353,OGG1,9781627,9818353
15622,NM_016820,chr3,9791627,9799089,OGG1,9781627,9809089
15624,NR_148932,chr3,9791627,9799089,OGG1,9781627,9809089
15625,NR_148931,chr3,9791627,9799089,OGG1,9781627,9809089
15626,NR_148930,chr3,9791627,9799089,OGG1,9781627,9809089
16215,NM_003241,chr3,44916099,44956481,TGM4,44906099,44966481
16243,NM_000579,chr3,46411632,46417697,CCR5,46401632,46427697
16248,NM_001100168,chr3,46411632,46417697,CCR5,46401632,46427697
17025,NM_000796,chr3,113846426,113897899,DRD3,113836426,113907899
17026,NM_001290809,chr3,113847498,113897623,DRD3,113837498,113907623
17031,NM_033663,chr3,113847498,113897899,DRD3,113837498,113907899
17299,NM_001354704,chr3,133465236,133515485,TF,133455236,133525485
17301,NM_001063,chr3,133465236,133515485,TF,133455236,133525485
17499,NM_007287,chr3,154797658,154901518,MME,154787658,154911518
17500,NM_007289,chr3,154798107,154901493,MME,154788107,154911493
17501,NM_001354644,chr3,154797799,154808289,MME,154787799,154818289
17502,NM_001354643,chr3,154797799,154901518,MME,154787799,154911518
17503,NM_000902,chr3,154797460,154901518,MME,154787460,154911518
17504,NM_007288,chr3,154797799,154901518,MME,154787799,154911518
17686,NM_001278659,chr3,170714135,170744509,SLC2A2,170704135,170754509
17687,NM_001278658,chr3,170714135,170744509,SLC2A2,170704135,170754509
17688,NM_000340,chr3,170714135,170744509,SLC2A2,170704135,170754509
17870,NM_001622,chr3,186330848,186339107,AHSG,186320848,186349107
17873,NM_001354573,chr3,186330848,186339107,AHSG,186320848,186349107
17874,NM_001354572,chr3,186330848,186339107,AHSG,186320848,186349107
17875,NM_001354571,chr3,186330848,186339107,AHSG,186320848,186349107
17911,NM_001048,chr3,187386699,187388182,SST,187376699,187398182
18119,NM_020777,chr4,7194264,7744554,SORCS2,7184264,7754554
18124,NR_148981,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18127,NM_001354826,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18128,NM_001354825,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18131,NM_001354827,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18132,NR_148987,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18133,NR_148986,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18134,NR_148985,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18135,NM_001330752,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18136,NM_001330751,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18137,NR_148982,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18139,NR_148983,chr4,23793643,24474528,PPARGC1A,23783643,24484528
18143,NM_001166050,chr4,40812043,41216559,APBB2,40802043,41226559
18144,NM_173075,chr4,40812043,41216559,APBB2,40802043,41226559
18145,NM_001330656,chr4,40812043,41216559,APBB2,40802043,41226559
18147,NM_004307,chr4,40812043,41216559,APBB2,40802043,41226559
18148,NM_001330658,chr4,40812043,41216559,APBB2,40802043,41226559
18232,NR_045756,chr4,109731876,110223814,COL25A1,109721876,110233814
18243,NM_001256074,chr4,109745037,110223814,COL25A1,109735037,110233814
18279,NM_032518,chr4,109745037,110223814,COL25A1,109735037,110233814
18283,NM_198721,chr4,109729882,110223814,COL25A1,109719882,110233814
18581,NM_013261,chr4,23793643,23891670,PPARGC1A,23783643,23901670
18582,NM_001330753,chr4,23793643,23882915,PPARGC1A,23783643,23892915
18583,NR_148984,chr4,23793643,23891670,PPARGC1A,23783643,23901670
18633,NM_001204747,chr4,39289075,39367982,RFC1,39279075,39377982
18637,NM_001363496,chr4,39289075,39367982,RFC1,39279075,39377982
18656,NM_001363495,chr4,39289075,39367982,RFC1,39279075,39377982
18657,NM_002913,chr4,39289075,39367982,RFC1,39279075,39377982
18860,NM_001204307,chr4,72607410,72669758,GC,72597410,72679758
18861,NM_001204306,chr4,72607410,72671237,GC,72597410,72681237
18863,NM_000583,chr4,72607413,72649796,GC,72597413,72659796
18897,NM_001130017,chr4,76932342,77033939,ART3,76922342,77043939
18899,NM_001377183,chr4,76932342,77033939,ART3,76922342,77043939
18903,NM_001377181,chr4,76932342,77033939,ART3,76922342,77043939
18905,NM_001377177,chr4,76932342,77033939,ART3,76922342,77043939
18983,NM_001375288,chr4,90645249,90757391,SNCA,90635249,90767391
18984,NM_001375287,chr4,90645249,90758312,SNCA,90635249,90768312
18985,NM_001375286,chr4,90645249,90758312,SNCA,90635249,90768312
18986,NM_001375285,chr4,90645249,90759455,SNCA,90635249,90769455
18987,NM_007308,chr4,90645249,90758127,SNCA,90635249,90768127
18989,NM_000345,chr4,90645249,90758312,SNCA,90635249,90768312
18991,NM_001146055,chr4,90645249,90759455,SNCA,90635249,90769455
18992,NM_001146054,chr4,90645249,90758312,SNCA,90635249,90768312
18993,NR_164674,chr4,90645249,90759455,SNCA,90635249,90769455
18994,NR_164675,chr4,90645249,90758312,SNCA,90635249,90768312
18995,NR_164676,chr4,90645249,90758312,SNCA,90635249,90768312
19426,NM_001873,chr4,166300159,166419699,CPE,166290159,166429699
19690,NM_002337,chr4,3505338,3534149,LRPAP1,3495338,3544149
19693,NR_110005,chr4,3505323,3533876,LRPAP1,3495323,3543876
19929,NM_001354828,chr4,23884303,23891670,PPARGC1A,23874303,23901670
20003,NM_001166051,chr4,40812043,40859172,APBB2,40802043,40869172
20004,NM_001166052,chr4,40812043,40859172,APBB2,40802043,40869172
20005,NM_001166053,chr4,40812043,40859209,APBB2,40802043,40869209
20006,NM_001166054,chr4,40812043,40859209,APBB2,40802043,40869209
20007,NM_004181,chr4,41258944,41270472,UCHL1,41248944,41280472
20089,NM_006947,chr4,57333782,57369847,SRP72,57323782,57379847
20093,NM_001267722,chr4,57333782,57369847,SRP72,57323782,57379847
20094,NR_151856,chr4,57333782,57369847,SRP72,57323782,57379847
20161,NM_001890,chr4,70796785,70812290,CSN1S1,70786785,70822290
20165,NM_001025104,chr4,70796785,70812290,CSN1S1,70786785,70822290
20197,NM_000477,chr4,74270003,74287199,ALB,74260003,74297199
20203,NR_046035,chr4,74735109,74737025,CXCL1,74725109,74747025
20205,NM_001511,chr4,74735109,74737025,CXCL1,74725109,74747025
20247,NM_001377174,chr4,76995861,77033939,ART3,76985861,77043939
20252,NM_001179,chr4,76995861,77033939,ART3,76985861,77043939
20254,NM_001130016,chr4,76995861,77033939,ART3,76985861,77043939
20255,NM_001377184,chr4,76995861,77033939,ART3,76985861,77043939
20256,NM_001377179,chr4,76995861,77033939,ART3,76985861,77043939
